"","ID","DT_condition","DT_style","DT_SubjAvg","DT_RTAvg","DT_TotalAvg","TotalRT"
"64","016","TRUTH","Indirect",0.665972222222222,2.66255511373747,0.660208333333333,2.4461637299275
"65","017","LIE","Direct",0.600277777777778,1.91766157513484,0.6275,2.16243198198499
"66","017","LIE","Indirect",0.654722222222222,2.40720238883514,0.6275,2.16243198198499
"67","017","TRUTH","Direct",0.741203703703704,2.21036782190204,0.766388888888889,2.15206679061521
"68","017","TRUTH","Indirect",0.791574074074074,2.09376575932838,0.766388888888889,2.15206679061521
"69","018","LIE","Direct",0.227083333333333,1.52322354312055,0.206967592592593,1.60485811249819
"70","018","LIE","Indirect",0.186851851851852,1.68649268187583,0.206967592592593,1.60485811249819
"71","018","TRUTH","Direct",0.729212962962963,1.18734006416053,0.785532407407407,1.62357748391805
"72","018","TRUTH","Indirect",0.841851851851852,2.05981490367558,0.785532407407407,1.62357748391805
"73","019","LIE","Direct",0,0,0,0
"74","019","LIE","Indirect",0,0,0,0
"75","019","TRUTH","Direct",0,0,0,0
"76","019","TRUTH","Indirect",0,0,0,0
"77","020","LIE","Direct",0.31,4.21502907425165,0.347222222222222,4.07920169554418
"78","020","LIE","Indirect",0.384444444444444,3.94337431683671,0.347222222222222,4.07920169554418
"79","020","TRUTH","Direct",0.846157407407407,3.59745435635559,0.803888888888889,3.94718207569094
"80","020","TRUTH","Indirect",0.76162037037037,4.29690979502629,0.803888888888889,3.94718207569094
"81","021","LIE","Direct",0.55712962962963,2.66564733979758,0.549814814814815,2.6832342482754
"82","021","LIE","Indirect",0.5425,2.70082115675323,0.549814814814815,2.6832342482754
"83","021","TRUTH","Direct",0.743657407407407,3.23312557665631,0.738842592592593,3.09816445147153
"84","021","TRUTH","Indirect",0.734027777777778,2.96320332628675,0.738842592592593,3.09816445147153
"85","022","LIE","Direct",0.0793518518518519,2.59200032206718,0.126296296296296,2.67096930789994
"86","022","LIE","Indirect",0.173240740740741,2.7499382937327,0.126296296296296,2.67096930789994
"87","022","TRUTH","Direct",0.885462962962963,3.1638908369001,0.814583333333333,2.85741494419053
"88","022","TRUTH","Indirect",0.743703703703704,2.55093905148096,0.814583333333333,2.85741494419053
"89","023","LIE","Direct",0,0,0,0
"90","023","LIE","Indirect",0,0,0,0
"91","023","TRUTH","Direct",0,0,0,0
"92","023","TRUTH","Indirect",0,0,0,0
"93","024","LIE","Direct",0.296851851851852,1.84934992692433,0.266481481481481,1.83003733654041
"94","024","LIE","Indirect",0.236111111111111,1.81072474615648,0.266481481481481,1.83003733654041
"95","024","TRUTH","Direct",0.752268518518519,1.73167296934407,0.720833333333333,1.95896270932863
"96","024","TRUTH","Indirect",0.689398148148148,2.18625244931318,0.720833333333333,1.95896270932863
"97","025","LIE","Direct",0.731990740740741,3.67554622951429,0.629236111111111,3.210544992832
"98","025","LIE","Indirect",0.526481481481481,2.74554375614971,0.629236111111111,3.210544992832
"99","025","TRUTH","Direct",0.828472222222222,2.10011471870821,0.849259259259259,2.05774409496225
"100","025","TRUTH","Indirect",0.870046296296296,2.0153734712163,0.849259259259259,2.05774409496225
"101","026","LIE","Direct",0.494259259259259,3.62647544844076,0.464375,3.45379053177312
"102","026","LIE","Indirect",0.434490740740741,3.28110561510548,0.464375,3.45379053177312
"103","026","TRUTH","Direct",0.686296296296296,2.43179094421212,0.697152777777778,2.73302151650423
"104","026","TRUTH","Indirect",0.708009259259259,3.03425208879635,0.697152777777778,2.73302151650423
"105","027","LIE","Direct",0.326944444444444,2.27683615814894,0.323587962962963,2.21868555893889
"106","027","LIE","Indirect",0.320231481481482,2.16053495972883,0.323587962962963,2.21868555893889
"107","027","TRUTH","Direct",0.679351851851852,2.08732310982887,0.684814814814815,2.17936439025216
"108","027","TRUTH","Indirect",0.690277777777778,2.27140567067545,0.684814814814815,2.17936439025216
"109","028","LIE","Direct",0.408888888888889,2.19743308715988,0.494375,2.20236189638963
"110","028","LIE","Indirect",0.579861111111111,2.20729070561938,0.494375,2.20236189638963
"111","028","TRUTH","Direct",0.649861111111111,2.27397871087305,0.590416666666667,2.15257761159446
"112","028","TRUTH","Indirect",0.530972222222222,2.03117651231587,0.590416666666667,2.15257761159446
"113","029","LIE","Direct",0.599490740740741,1.31673987903632,0.575115740740741,1.62983453356428
"114","029","LIE","Indirect",0.550740740740741,1.94292918809224,0.575115740740741,1.62983453356428
"115","029","TRUTH","Direct",0.994953703703704,0.994782027904876,0.896064814814815,1.31762528438121
"116","029","TRUTH","Indirect",0.797175925925926,1.64046854085755,0.896064814814815,1.31762528438121
"117","030","LIE","Direct",0.8025,1.30213152049109,0.802476851851852,1.67441668580286
"118","030","LIE","Indirect",0.802453703703704,2.04670185111463,0.802476851851852,1.67441668580286
"119","030","TRUTH","Direct",0.906851851851852,1.51576754429843,0.880833333333333,1.51868845411809
"120","030","TRUTH","Indirect",0.854814814814815,1.52160936393775,0.880833333333333,1.51868845411809
