"ï..Item","pic","correct","condition","responsetime","response","participant","answer"
90,"images/95","b","cognitive",2.02719566482119,"b",1,1
91,"images/96","c","affect",4.10381183295976,"c",1,1
92,"images/97","c","affect",2.03132053639274,"c",1,1
93,"images/98","a","physical",1.50270949327387,"a",1,1
94,"images/99","b","cognitive",4.34069552423898,"b",1,1
95,"images/100","d","cognitive",5.3071425271919,"b",1,0
96,"images/101","c","physical",4.69581847486552,"c",1,1
97,"images/102","b","affect",4.0652973128017,"b",1,1
98,"images/103","c","cognitive",3.66238898655865,"b",1,0
1,"images/4","b","cognitive",8.53670327248983,"b",2,1
2,"images/5","a","physical",2.13113998901099,"a",2,1
3,"images/6","a","affect",3.73061072989367,"a",2,1
4,"images/7","d","affect",13.0236514448188,"b",2,0
5,"images/8","b","cognitive",2.9352810929995,"b",2,1
6,"images/9","b","physical",1.4638356748037,"b",2,1
7,"images/10","c","physical",4.3615916010458,"c",2,1
8,"images/11","c","cognitive",3.62319693248719,"c",2,1
9,"images/12","d","affect",2.1278007614892,"d",2,1
10,"images/13","d","cognitive",2.56403591972776,"d",2,1
11,"images/14","c","physical",10.9278927033301,"b",2,0
12,"images/15","a","affect",1.92969881836325,"a",2,1
13,"images/16","b","affect",5.26761202723719,"b",2,1
14,"images/17","b","cognitive",12.4271875806153,"b",2,1
15,"images/18","d","physical",20.9109566058032,"a",2,0
16,"images/19","b","physical",6.4933654947672,"b",2,1
17,"images/20","c","affect",3.02907299785875,"c",2,1
18,"images/21","b","physical",1.53485481138341,"b",2,1
19,"images/22","a","physical",1.47056545852683,"a",2,1
20,"images/23","d","affect",1.60095509164967,"d",2,1
21,"images/24","d","cognitive",1.63041176856495,"d",2,1
22,"images/25","a","cognitive",1.69580628443509,"a",2,1
23,"images/26","b","affect",1.39662606175989,"b",2,1
24,"images/27","d","cognitive",1.70380708528683,"d",2,1
25,"images/29","b","affect",7.00508599425666,"b",2,1
26,"images/30","b","affect",17.1598280244507,"b",2,1
27,"images/31","d","affect",5.10479252436198,"d",2,1
28,"images/32","b","affect",2.89473685901612,"b",2,1
29,"images/33","c","affect",10.0616623058449,"c",2,1
30,"images/34","d","affect",2.23710440308787,"d",2,1
31,"images/35","d","affect",3.63822457939386,"d",2,1
32,"images/36","d","affect",2.86444385140203,"d",2,1
33,"images/37","b","affect",4.6697465791367,"b",2,1
34,"images/38","b","affect",2.62432390986942,"b",2,1
35,"images/39","c","affect",2.79628273937851,"c",2,1
36,"images/40","c","cognitive",6.19798452965915,"c",2,1
37,"images/41","a","affect",3.19938996317796,"a",2,1
38,"images/42","d","affect",4.26206087041646,"d",2,1
39,"images/43","a","affect",3.29474834352732,"a",2,1
40,"images/44","d","cognitive",5.06359192961827,"d",2,1
41,"images/45","d","affect",3.13277800357901,"d",2,1
42,"images/46","c","affect",4.02345511387102,"c",2,1
43,"images/47","b","affect",4.32879345095716,"b",2,1
44,"images/48","a","affect",2.4906543972902,"a",2,1
45,"images/49","a","affect",1.9379261052236,"a",2,1
46,"images/50","d","affect",2.13703055446967,"d",2,1
47,"images/51","c","affect",5.46452924888581,"c",2,1
48,"images/52","c","affect",3.76335979741998,"c",2,1
49,"images/53","d","affect",3.36347631271929,"c",2,0
50,"images/54","c","affect",3.5702768007759,"c",2,1
51,"images/55","a","affect",4.10266785300337,"b",2,0
52,"images/56","c","affect",3.19748247461393,"c",2,1
53,"images/57","d","affect",4.80504672788084,"d",2,1
54,"images/58","d","cognitive",2.02712508826517,"d",2,1
55,"images/59","b","cognitive",1.4026253791526,"b",2,1
56,"images/60","b","affect",4.46351711871102,"b",2,1
57,"images/62","c","cognitive",7.33242557081394,"c",2,1
58,"images/63","d","cognitive",2.13176009920426,"d",2,1
59,"images/64","b","cognitive",23.4228217869531,"a",2,0
60,"images/65","c","physical",4.09460674179718,"c",2,1
61,"images/66","a","affect",15.1954649509862,"d",2,0
62,"images/67","b","affect",4.53377531305887,"b",2,1
63,"images/68","d","cognitive",7.90167933399789,"d",2,1
64,"images/69","a","cognitive",3.76239065476693,"a",2,1
65,"images/70","a","physical",4.70311511517502,"a",2,1
66,"images/71","a","cognitive",6.06601141788997,"a",2,1
67,"images/72","c","cognitive",1.93489003553987,"c",2,1
68,"images/73","a","cognitive",22.4578055606689,"a",2,1
69,"images/74","c","cognitive",3.39986006612889,"c",2,1
70,"images/75","d","cognitive",2.79144183802418,"d",2,1
71,"images/76","b","cognitive",20.7291927852202,"b",2,1
72,"images/77","a","cognitive",3.27026377618313,"a",2,1
73,"images/78","b","affect",4.03235929296352,"b",2,1
74,"images/79","a","cognitive",5.57086451002397,"a",2,1
75,"images/80","b","affect",9.69660860998556,"b",2,1
76,"images/81","a","affect",4.39664466818795,"a",2,1
77,"images/82","d","physical",8.33050396689214,"d",2,1
78,"images/83","d","affect",8.53132502757944,"d",2,1
79,"images/84","b","cognitive",5.37137285270728,"b",2,1
80,"images/85","c","cognitive",9.79870832292363,"c",2,1
81,"images/86","a","physical",3.66381398867816,"a",2,1
82,"images/87","d","affect",4.09306817571633,"d",2,1
83,"images/88","d","cognitive",3.16985244373791,"d",2,1
84,"images/89","c","affect",3.12866243557073,"c",2,1
85,"images/90","b","cognitive",3.66022229008377,"b",2,1
86,"images/91","c","cognitive",3.26900430768728,"c",2,1
87,"images/92","d","cognitive",5.73163922107778,"d",2,1
88,"images/93","b","cognitive",10.8013883025851,"d",2,0
89,"images/94","a","affect",3.79267083015293,"a",2,1
90,"images/95","b","cognitive",2.55602870276198,"b",2,1
91,"images/96","c","affect",4.36055284435861,"c",2,1
92,"images/97","c","affect",2.9255874203518,"c",2,1
93,"images/98","a","physical",2.16651064995676,"a",2,1
94,"images/99","b","cognitive",10.9663071334362,"b",2,1
95,"images/100","d","cognitive",5.19564748741686,"d",2,1
96,"images/101","c","physical",5.90503235603683,"c",2,1
97,"images/102","b","affect",7.89978146972135,"b",2,1
98,"images/103","c","cognitive",10.5984226809815,"c",2,1
1,"images/4","b","cognitive",10.903752356302,"b",3,1
2,"images/5","a","physical",4.29436145629734,"a",3,1
3,"images/6","a","affect",2.57194465026259,"a",3,1
4,"images/7","d","affect",4.7929120734334,"d",3,1
5,"images/8","b","cognitive",2.40255544427782,"b",3,1
6,"images/9","b","physical",2.13881710078567,"b",3,1
7,"images/10","c","physical",2.13900605309755,"c",3,1
8,"images/11","c","cognitive",2.69130415003747,"c",3,1
9,"images/12","d","affect",1.60516433371231,"d",3,1
10,"images/13","d","cognitive",2.74146987590939,"d",3,1
11,"images/14","c","physical",1.83767581591383,"c",3,1
12,"images/15","a","affect",1.90636945841834,"a",3,1
13,"images/16","b","affect",2.1042923941277,"b",3,1
14,"images/17","b","cognitive",3.22715505165979,"b",3,1
15,"images/18","d","physical",1.53717324743047,"d",3,1
16,"images/19","b","physical",2.33187892427668,"b",3,1
17,"images/20","c","affect",2.49341842718422,"c",3,1
18,"images/21","b","physical",1.65942605957389,"b",3,1
19,"images/22","a","physical",1.5348499994725,"a",3,1
20,"images/23","d","affect",1.77171059325337,"d",3,1
21,"images/24","d","cognitive",1.62945513706654,"d",3,1
22,"images/25","a","cognitive",1.66565282549709,"a",3,1
23,"images/26","b","affect",1.73218362219632,"b",3,1
24,"images/27","d","cognitive",2.13175496645272,"d",3,1
25,"images/29","b","affect",7.66436673048884,"b",3,1
26,"images/30","b","affect",7.33491595601663,"b",3,1
27,"images/31","d","affect",6.03513102186844,"d",3,1
28,"images/32","b","affect",5.86691851774231,"b",3,1
29,"images/33","c","affect",5.42891734512523,"b",3,0
30,"images/34","d","affect",2.83923395024613,"d",3,1
31,"images/35","d","affect",6.15964516717941,"d",3,1
32,"images/36","d","affect",2.5056448308751,"c",3,0
33,"images/37","b","affect",4.59322568960488,"c",3,0
34,"images/38","b","affect",4.60200026445091,"c",3,0
35,"images/39","c","affect",3.7023647595197,"c",3,1
36,"images/40","c","cognitive",2.10149532184005,"c",3,1
37,"images/41","a","affect",13.6716989800334,"c",3,0
38,"images/42","d","affect",3.66919351695105,"c",3,0
39,"images/43","a","affect",4.30466401157901,"a",3,1
40,"images/44","d","cognitive",2.32761803269386,"d",3,1
41,"images/45","d","affect",1.20556508004665,"a",3,0
42,"images/46","c","affect",1.96198143949732,"c",3,1
43,"images/47","b","affect",7.50440781889483,"b",3,1
44,"images/48","a","affect",3.36398382112384,"a",3,1
45,"images/49","a","affect",6.73674670886248,"a",3,1
46,"images/50","d","affect",1.60832808306441,"b",3,0
47,"images/51","c","affect",1.93395650200546,"c",3,1
48,"images/52","c","affect",2.13432170264423,"c",3,1
49,"images/53","d","affect",1.83508694404736,"d",3,1
50,"images/54","c","affect",9.79477015836164,"c",3,1
51,"images/55","a","affect",2.26095859473571,"a",3,1
52,"images/56","c","affect",1.33149364124984,"c",3,1
53,"images/57","d","affect",2.95861847279593,"b",3,0
54,"images/58","d","cognitive",1.8062725123018,"d",3,1
55,"images/59","b","cognitive",1.50026786979288,"b",3,1
56,"images/60","b","affect",8.25725461542606,"b",3,1
57,"images/62","c","cognitive",6.16945368703455,"c",3,1
58,"images/63","d","cognitive",3.02570489840582,"d",3,1
59,"images/64","b","cognitive",7.15954892663285,"b",3,1
60,"images/65","c","physical",2.63729649921879,"d",3,0
61,"images/66","a","affect",10.4941947679035,"d",3,0
62,"images/67","b","affect",5.4988101455383,"b",3,1
63,"images/68","d","cognitive",2.84008600050583,"d",3,1
64,"images/69","a","cognitive",4.13156505161896,"a",3,1
65,"images/70","a","physical",11.8669066475704,"a",3,1
66,"images/71","a","cognitive",12.9700306816958,"a",3,1
67,"images/72","c","cognitive",2.96194454748183,"c",3,1
68,"images/73","a","cognitive",17.669381506741,"b",3,0
69,"images/74","c","cognitive",2.92852211697027,"c",3,1
70,"images/75","d","cognitive",7.47026871656999,"d",3,1
71,"images/76","b","cognitive",19.426846568007,"a",3,0
72,"images/77","a","cognitive",7.46382252220064,"a",3,1
73,"images/78","b","affect",3.57259972766042,"b",3,1
74,"images/79","a","cognitive",6.32787916529924,"a",3,1
75,"images/80","b","affect",3.80322232749313,"a",3,0
76,"images/81","a","affect",10.3042934853584,"a",3,1
77,"images/82","d","physical",3.63075791392475,"a",3,0
78,"images/83","d","affect",11.2385961320251,"d",3,1
79,"images/84","b","cognitive",3.70155313052237,"b",3,1
80,"images/85","c","cognitive",5.42647540057078,"a",3,0
81,"images/86","a","physical",15.1564871929586,"a",3,1
82,"images/87","d","affect",25.3252906142734,"d",3,1
83,"images/88","d","cognitive",2.97203376889229,"a",3,0
84,"images/89","c","affect",1.69798805844039,"a",3,0
85,"images/90","b","cognitive",4.06317937839776,"b",3,1
86,"images/91","c","cognitive",3.0976322251372,"c",3,1
87,"images/92","d","cognitive",5.87013840675354,"d",3,1
88,"images/93","b","cognitive",5.76063683023676,"a",3,0
89,"images/94","a","affect",2.82659499533474,"a",3,1
90,"images/95","b","cognitive",0.938595298212022,"a",3,0
91,"images/96","c","affect",6.63119099661708,"b",3,0
92,"images/97","c","affect",9.6048707999289,"b",3,0
93,"images/98","a","physical",14.4650184717029,"d",3,0
94,"images/99","b","cognitive",6.53462223010138,"b",3,1
95,"images/100","d","cognitive",2.62936916248873,"b",3,0
96,"images/101","c","physical",13.1664035017602,"b",3,0
97,"images/102","b","affect",3.43070613685995,"a",3,0
98,"images/103","c","cognitive",10.7667160271667,"b",3,0
1,"images/4","b","cognitive",5.16083053057082,"b",4,1
2,"images/5","a","physical",1.35736856423318,"a",4,1
3,"images/6","a","affect",1.60747474967502,"a",4,1
4,"images/7","d","affect",1.97085963375866,"d",4,1
5,"images/8","b","cognitive",1.89362528012134,"b",4,1
6,"images/9","b","physical",1.82777137611993,"b",4,1
7,"images/10","c","physical",2.26153924618848,"c",4,1
8,"images/11","c","cognitive",1.5929975991603,"c",4,1
9,"images/12","d","affect",1.49516968498938,"d",4,1
10,"images/13","d","cognitive",1.3347786529921,"d",4,1
11,"images/14","c","physical",1.09597303718328,"c",4,1
12,"images/15","a","affect",1.06307768402621,"a",4,1
13,"images/16","b","affect",1.15814734296873,"b",4,1
14,"images/17","b","cognitive",1.09261584468186,"b",4,1
15,"images/18","d","physical",1.04041142202914,"d",4,1
16,"images/19","b","physical",1.27165798144415,"b",4,1
17,"images/20","c","affect",1.26144942175597,"c",4,1
18,"images/21","b","physical",1.1271697441116,"b",4,1
19,"images/22","a","physical",0.793126368895173,"a",4,1
20,"images/23","d","affect",1.12727657123469,"d",4,1
21,"images/24","d","cognitive",1.35887665417977,"d",4,1
22,"images/25","a","cognitive",0.925383069785312,"a",4,1
23,"images/26","b","affect",1.23760100454092,"b",4,1
24,"images/27","d","cognitive",1.36342081381008,"d",4,1
25,"images/29","b","affect",1.59420798486099,"b",4,1
26,"images/30","b","affect",2.92694280855358,"b",4,1
27,"images/31","d","affect",1.49471831670962,"d",4,1
28,"images/32","b","affect",3.05787555966526,"b",4,1
29,"images/33","c","affect",3.2586462541949,"c",4,1
30,"images/34","d","affect",1.9572178516537,"d",4,1
31,"images/35","d","affect",3.05796057218686,"d",4,1
32,"images/36","d","affect",1.24045453779399,"d",4,1
33,"images/37","b","affect",3.9631866926793,"b",4,1
34,"images/38","b","affect",2.06168829090893,"b",4,1
35,"images/39","c","affect",2.67144490499049,"a",4,0
36,"images/40","c","cognitive",1.69762555230409,"c",4,1
37,"images/41","a","affect",2.92534040287137,"a",4,1
38,"images/42","d","affect",2.92462437297218,"d",4,1
39,"images/43","a","affect",3.32833181717433,"a",4,1
40,"images/44","d","cognitive",1.26037088548765,"d",4,1
41,"images/45","d","affect",1.8947144029662,"d",4,1
42,"images/46","c","affect",1.45898258313537,"c",4,1
43,"images/47","b","affect",2.29382732138038,"b",4,1
44,"images/48","a","affect",1.32817366160452,"d",4,0
45,"images/49","a","affect",1.52688384545036,"a",4,1
46,"images/50","d","affect",1.6649528357666,"d",4,1
47,"images/51","c","affect",2.16662613884546,"c",4,1
48,"images/52","c","affect",2.4411742251832,"c",4,1
49,"images/53","d","affect",1.45899894391187,"d",4,1
50,"images/54","c","affect",1.96234266273677,"c",4,1
51,"images/55","a","affect",1.32686992245726,"a",4,1
52,"images/56","c","affect",2.67057521082461,"c",4,1
53,"images/57","d","affect",2.2276487655472,"d",4,1
54,"images/58","d","cognitive",1.43945119786076,"d",4,1
55,"images/59","b","cognitive",2.49474173504859,"b",4,1
56,"images/60","b","affect",1.995302176103,"b",4,1
57,"images/62","c","cognitive",4.39625328965485,"c",4,1
58,"images/63","d","cognitive",2.43793829577044,"d",4,1
59,"images/64","b","cognitive",12.1944448009599,"b",4,1
60,"images/65","c","physical",1.92688859323971,"c",4,1
61,"images/66","a","affect",4.93876179424115,"a",4,1
62,"images/67","b","affect",4.09431673679501,"b",4,1
63,"images/68","d","cognitive",2.92804732988589,"d",4,1
64,"images/69","a","cognitive",3.3958429840859,"a",4,1
65,"images/70","a","physical",2.5283094891347,"a",4,1
66,"images/71","a","cognitive",7.0916922558099,"c",4,0
67,"images/72","c","cognitive",7.59435010002926,"c",4,1
68,"images/73","a","cognitive",6.09506484703161,"a",4,1
69,"images/74","c","cognitive",3.5924872031901,"c",4,1
70,"images/75","d","cognitive",8.30543393595144,"d",4,1
71,"images/76","b","cognitive",2.60418524662964,"b",4,1
72,"images/77","a","cognitive",2.59464908763766,"a",4,1
73,"images/78","b","affect",3.40429322840646,"b",4,1
74,"images/79","a","cognitive",2.89453218737617,"a",4,1
75,"images/80","b","affect",3.82888038852252,"b",4,1
76,"images/81","a","affect",2.16172781377099,"a",4,1
77,"images/82","d","physical",2.29331917106174,"d",4,1
78,"images/83","d","affect",1.7374685134273,"d",4,1
79,"images/84","b","cognitive",2.59624283155426,"b",4,1
80,"images/85","c","cognitive",3.55979748419486,"c",4,1
81,"images/86","a","physical",2.39480326510966,"a",4,1
82,"images/87","d","affect",3.95965305902064,"d",4,1
83,"images/88","d","cognitive",1.16032398422249,"d",4,1
84,"images/89","c","affect",2.99400292825885,"c",4,1
85,"images/90","b","cognitive",1.59202364436351,"b",4,1
86,"images/91","c","cognitive",2.2366161425598,"c",4,1
87,"images/92","d","cognitive",5.62585606006905,"d",4,1
88,"images/93","b","cognitive",2.39577882387675,"b",4,1
89,"images/94","a","affect",2.29195897071622,"a",4,1
90,"images/95","b","cognitive",2.35884200758301,"b",4,1
91,"images/96","c","affect",3.22495434992015,"b",4,0
92,"images/97","c","affect",3.09148213057779,"c",4,1
93,"images/98","a","physical",1.72599278576672,"a",4,1
94,"images/99","b","cognitive",2.69568951241672,"b",4,1
95,"images/100","d","cognitive",4.6600849868264,"b",4,0
96,"images/101","c","physical",1.52784079755656,"a",4,0
97,"images/102","b","affect",3.49535671249032,"b",4,1
98,"images/103","c","cognitive",3.7918880735524,"c",4,1
1,"images/4","b","cognitive",5.82877067406662,"b",5,1
2,"images/5","a","physical",2.70055704051629,"a",5,1
3,"images/6","a","affect",2.69056309736334,"a",5,1
4,"images/7","d","affect",2.22390789398924,"d",5,1
5,"images/8","b","cognitive",1.29187395819463,"b",5,1
6,"images/9","b","physical",1.25852499110624,"b",5,1
7,"images/10","c","physical",4.12516376934946,"b",5,0
8,"images/11","c","cognitive",1.4948078203015,"c",5,1
9,"images/12","d","affect",1.60375986318104,"d",5,1
10,"images/13","d","cognitive",1.65960025507957,"d",5,1
11,"images/14","c","physical",1.22788198851049,"c",5,1
12,"images/15","a","affect",1.62726341816597,"a",5,1
13,"images/16","b","affect",1.85782346129417,"b",5,1
14,"images/17","b","cognitive",4.35960455378518,"b",5,1
15,"images/18","d","physical",1.2588499635458,"d",5,1
16,"images/19","b","physical",1.16228504665196,"b",5,1
17,"images/20","c","affect",2.19115144805983,"c",5,1
18,"images/21","b","physical",2.16174962813966,"b",5,1
19,"images/22","a","physical",1.03397902217694,"a",5,1
20,"images/23","d","affect",1.73929644282907,"d",5,1
21,"images/24","d","cognitive",1.74051869823597,"d",5,1
22,"images/25","a","cognitive",1.34060024609789,"a",5,1
23,"images/26","b","affect",1.86121209245175,"b",5,1
24,"images/27","d","cognitive",1.62822967371903,"d",5,1
25,"images/29","b","affect",6.35939218313433,"b",5,1
26,"images/30","b","affect",4.66119656548835,"b",5,1
27,"images/31","d","affect",4.79382122610696,"d",5,1
28,"images/32","b","affect",3.26266044913791,"b",5,1
29,"images/33","c","affect",4.93758797994815,"c",5,1
30,"images/34","d","affect",1.82712399750017,"d",5,1
31,"images/35","d","affect",3.05932943406515,"a",5,0
32,"images/36","d","affect",2.16043209447525,"d",5,1
33,"images/37","b","affect",2.82833438343368,"b",5,1
34,"images/38","b","affect",2.69470497127622,"b",5,1
35,"images/39","c","affect",2.19060480152257,"c",5,1
36,"images/40","c","cognitive",1.82671593758278,"c",5,1
37,"images/41","a","affect",1.72622793354094,"b",5,0
38,"images/42","d","affect",1.62228200538084,"c",5,0
39,"images/43","a","affect",3.45984169072472,"a",5,1
40,"images/44","d","cognitive",2.93671379447915,"d",5,1
41,"images/45","d","affect",1.76903670863248,"a",5,0
42,"images/46","c","affect",1.89156509004533,"c",5,1
43,"images/47","b","affect",2.06150350882672,"b",5,1
44,"images/48","a","affect",1.80972754932009,"d",5,0
45,"images/49","a","affect",1.52478997083381,"a",5,1
46,"images/50","d","affect",1.73873728513718,"b",5,0
47,"images/51","c","affect",2.8598881426733,"b",5,0
48,"images/52","c","affect",1.89583688881248,"c",5,1
49,"images/53","d","affect",2.35784976719879,"d",5,1
50,"images/54","c","affect",2.32730813790113,"c",5,1
51,"images/55","a","affect",1.32492105057463,"a",5,1
52,"images/56","c","affect",2.77402582066134,"c",5,1
53,"images/57","d","affect",3.19516692589968,"d",5,1
54,"images/58","d","cognitive",1.36006907513365,"d",5,1
55,"images/59","b","cognitive",1.52636671252549,"b",5,1
56,"images/60","b","affect",1.62565170926973,"a",5,0
57,"images/62","c","cognitive",5.26062977267429,"c",5,1
58,"images/63","d","cognitive",3.39338499959558,"d",5,1
59,"images/64","b","cognitive",6.79045569268055,"a",5,0
60,"images/65","c","physical",6.72641431959346,"b",5,0
61,"images/66","a","affect",4.22666422417387,"a",5,1
62,"images/67","b","affect",2.62945160828531,"b",5,1
63,"images/68","d","cognitive",7.12366786994971,"d",5,1
64,"images/69","a","cognitive",3.47408690140583,"a",5,1
65,"images/70","a","physical",5.02508382569067,"a",5,1
66,"images/71","a","cognitive",4.69271054537967,"d",5,0
67,"images/72","c","cognitive",7.02611488313414,"a",5,0
68,"images/73","a","cognitive",3.97324832505547,"c",5,0
69,"images/74","c","cognitive",4.12938648555428,"c",5,1
70,"images/75","d","cognitive",3.97298590908758,"d",5,1
71,"images/76","b","cognitive",5.87275326345116,"b",5,1
72,"images/77","a","cognitive",3.20600008731708,"c",5,0
73,"images/78","b","affect",3.52418269286864,"b",5,1
74,"images/79","a","cognitive",1.92612668848597,"b",5,0
75,"images/80","b","affect",2.22474358300678,"a",5,0
76,"images/81","a","affect",4.20575820258819,"a",5,1
77,"images/82","d","physical",2.30281426711008,"d",5,1
78,"images/83","d","affect",4.73002815362997,"d",5,1
79,"images/84","b","cognitive",4.84052838641219,"b",5,1
80,"images/85","c","cognitive",3.30468293861486,"c",5,1
81,"images/86","a","physical",2.32734085968696,"a",5,1
82,"images/87","d","affect",2.29193683550693,"d",5,1
83,"images/88","d","cognitive",4.4585462922696,"d",5,1
84,"images/89","c","affect",3.93865753361024,"a",5,0
85,"images/90","b","cognitive",1.19278561323881,"b",5,1
86,"images/91","c","cognitive",4.95955457282253,"b",5,0
87,"images/92","d","cognitive",4.82374306581914,"d",5,1
88,"images/93","b","cognitive",5.7597421137616,"c",5,0
89,"images/94","a","affect",2.52504244213924,"a",5,1
90,"images/95","b","cognitive",5.35827194247395,"b",5,1
91,"images/96","c","affect",5.62858480145223,"b",5,0
92,"images/97","c","affect",3.16033777897246,"d",5,0
93,"images/98","a","physical",3.96080602146685,"a",5,1
94,"images/99","b","cognitive",5.62545569916256,"b",5,1
95,"images/100","d","cognitive",2.52515889331698,"d",5,1
96,"images/101","c","physical",2.85883976193145,"c",5,1
97,"images/102","b","affect",3.42764953547157,"b",5,1
98,"images/103","c","cognitive",3.92643433762714,"c",5,1
1,"images/4","b","cognitive",4.72946257982403,"a",6,0
2,"images/5","a","physical",3.10859017819166,"a",6,1
3,"images/6","a","affect",3.4936093040742,"a",6,1
4,"images/7","d","affect",1.79532354138792,"d",6,1
5,"images/8","b","cognitive",1.59363310784101,"b",6,1
6,"images/9","b","physical",1.46138474810869,"b",6,1
7,"images/10","c","physical",1.09477259637788,"c",6,1
8,"images/11","c","cognitive",1.22971055982634,"c",6,1
9,"images/12","d","affect",1.15947289671749,"d",6,1
10,"images/13","d","cognitive",1.19142027990893,"d",6,1
11,"images/14","c","physical",1.22726059518754,"c",6,1
12,"images/15","a","affect",1.42704033246264,"a",6,1
