"ID","instruction","style","DT_RT_avg","DT_confidence_avg"
21,"TRUTH","Direct",4.85708130206913,0.743657407407407
21,"TRUTH","Indirect",5.32195433829911,0.734027777777778
22,"LIE","Direct",4.02305589206517,0.0793518518518519
22,"LIE","Indirect",5.52866126464214,0.173240740740741
22,"TRUTH","Direct",5.3345823062351,0.885462962962963
22,"TRUTH","Indirect",4.91289437788073,0.743703703703704
23,"LIE","Direct",3.13136232071556,NA
23,"LIE","Indirect",3.07394943775143,NA
23,"TRUTH","Direct",2.819033709215,NA
23,"TRUTH","Indirect",3.16729772153776,NA
24,"LIE","Direct",2.62395635114517,0.296851851851852
24,"LIE","Indirect",2.98812848313246,0.236111111111111
24,"TRUTH","Direct",2.5864213675959,0.752268518518519
24,"TRUTH","Indirect",2.79898429287132,0.689398148148148
25,"LIE","Direct",3.43389275842346,0.731990740740741
25,"LIE","Indirect",3.98802704564296,0.526481481481481
25,"TRUTH","Direct",3.76724807743449,0.828472222222222
25,"TRUTH","Indirect",3.65058005801402,0.870046296296296
26,"LIE","Direct",3.15804165494628,0.494259259259259
26,"LIE","Indirect",3.47974105183966,0.434490740740741
26,"TRUTH","Direct",3.05987670619506,0.686296296296296
26,"TRUTH","Indirect",3.39141734472942,0.708009259259259
27,"LIE","Direct",4.6596694199834,0.326944444444444
27,"LIE","Indirect",5.71281675982755,0.320231481481482
27,"TRUTH","Direct",4.05551522721071,0.679351851851852
27,"TRUTH","Indirect",5.44545226339251,0.690277777777778
28,"LIE","Direct",3.64642540011555,0.408888888888889
28,"LIE","Indirect",3.91972551865038,0.579861111111111
28,"TRUTH","Direct",3.67804798753932,0.649861111111111
28,"TRUTH","Indirect",3.6946454144083,0.530972222222222
29,"LIE","Direct",3.17391631496139,0.599490740740741
29,"LIE","Indirect",3.27149517454673,0.550740740740741
29,"TRUTH","Direct",3.20724125397392,0.994953703703704
29,"TRUTH","Indirect",3.41306334431283,0.797175925925926
30,"LIE","Direct",3.50476504797116,0.8025
30,"LIE","Indirect",4.68048818362877,0.802453703703704
30,"TRUTH","Direct",3.46061177577358,0.906851851851852
30,"TRUTH","Indirect",4.14044865116011,0.854814814814815
