item,style,condition,question,respond,video,bitalino,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Trialsloop.thisRepN,Trialsloop.thisTrialN,Trialsloop.thisN,Trialsloop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,IDRESPONSE.text,sensor2.started,sensor2.stopped,sensor3.started,sensor3.stopped,sensor.started,sensor.stopped,sensor4.started,sensor4.stopped,textsubjresp.started,textsubjresp.stopped,SubjectiveResponse.response,SubjectiveResponse.rt,SubjectiveResponse.started,SubjectiveResponse.stopped,textsubjcon.started,textsubjcon.stopped,sensor5.started,sensor5.stopped,sensor1.started,sensor1.stopped,sensor6.started,sensor6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
22,Indirect,TRUTH,Are you in your 1st year in NTU?,,video/V26.mp4,,,,,,,,,,0,16,16,16,,,,,,350.97503262525424,351.5081814122386,352.4416271969676,352.9413975030184,355.54108863463625,356.07446647435427,357.7077430039644,358.20770065812394,360.0070518683642,None,0.9768518518518519,1.717270822264254,360.0070518683642,None,360.0070518683642,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
20,Direct,TRUTH,Which floor of the building is your house on?,,video/V25.mp4,,,,,,,,,,0,17,17,17,,,,,,362.37409164896235,362.8903601579368,364.39029952604324,364.88993958663195,367.6735692550428,368.2067520469427,370.0064060939476,370.506391657982,371.63981254864484,None,0.9768518518518519,1.3151821452192962,371.63981254864484,None,371.63981254864484,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
2,Indirect,TRUTH,Are you from Jurong Secondary School?,,video/V11.mp4,,,,,,,,,,0,18,18,18,,,,,,375.23936701891944,375.77255109418184,377.5560139459558,378.0558253140189,380.72195132263005,381.25558355776593,383.021896337159,383.5217285580002,385.0051029967144,None,0.9768518518518519,1.3838055324740708,385.0051029967144,None,385.0051029967144,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
21,Indirect,LIE,Are you from Nanyang Business School in NTU?,,video/V31.mp4,,,,,,,,,,0,19,19,19,,,,,,387.53765541221946,388.0548070888035,391.15460665151477,391.65447159390897,394.60411210358143,395.137259285897,396.6371470056474,397.1372233564034,398.787234520074,None,0.03518518518518521,2.2341132457368076,398.787234520074,None,398.787234520074,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
16,Direct,LIE,"How many siblings do you have? (Eg. 0, 1, 2, 3)",,video/V10.mp4,,,,,,,,,,0,20,20,20,,,,,,401.7200306812301,402.25328725762665,406.5863332590088,407.0861969185062,410.20242474926636,410.73598608747125,411.9691670825705,412.4686557240784,413.8850986850448,None,0.9731481481481481,1.5174089595675468,413.8850986850448,None,413.8850986850448,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
25,Direct,LIE,"How old is your dad? (Eg. 45, 52)",,video/V19.mp4,,,,,,,,,,0,21,21,21,,,,,,416.20183351123706,416.73542275931686,420.70136802783236,421.201210193336,424.46762338327244,425.0011619445868,426.8342961668968,427.3339310940355,428.4337142962031,None,0.018518518518518545,5.516904017422348,428.4337142962031,None,428.4337142962031,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
27,Indirect,TRUTH,Do you drink alcohol rarely?,,video/V7.mp4,,,,,,,,,,0,22,22,22,,,,,,434.6496903616935,435.1832472085953,437.23319992236793,437.732690168079,440.81611984875053,441.3495692270808,442.9827065290883,443.48248036345467,445.16558096557856,None,0.04629629629629628,2.0326108019798994,445.16558096557856,None,445.16558096557856,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
21,Indirect,TRUTH,Are you from School of Humanities in NTU?,,video/V14.mp4,,,,,,,,,,0,23,23,23,,,,,,448.1986027150415,448.7318265689537,450.96516989031807,451.4651884967461,453.9812972461805,454.51492691459134,456.8476825905964,457.3477352024056,458.4643842461519,None,0.9851851851851852,4.73342191753909,458.4643842461519,None,458.4643842461519,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
28,Direct,TRUTH,What religion do you practice?,,video/V20.mp4,,,,,,,,,,0,24,24,24,,,,,,463.6970776221715,464.23040573718026,465.28002385469154,465.7800645963289,468.37982630496845,468.9134591817856,470.8797056833282,471.3796790568158,473.04628177685663,None,0.9685185185185186,3.7171184411272407,473.04628177685663,None,473.04628177685663,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
2,Direct,LIE,Which secondary school did you attend?,,video/V5.mp4,,,,,,,,,,0,25,25,25,,,,,,477.6789673897438,478.2122002262622,485.79514068411663,486.31154168443754,489.51129287015647,490.04458184726536,492.6442793952301,493.1442161970772,494.34431288717315,None,0.05092592592592593,2.0998563449829817,494.34431288717315,None,494.34431288717315,None,,,,,,,022,001,2021_Feb_16_1603,deception_task,2020.2.10,60.05471449821671,
