item,style,condition,question,respond,video,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Trialsloop.thisRepN,Trialsloop.thisTrialN,Trialsloop.thisN,Trialsloop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,IDRESPONSE.text,sensor2.started,sensor2.stopped,sensor3.started,sensor3.stopped,sensor.started,sensor.stopped,sensor4.started,sensor4.stopped,textsubjresp.started,textsubjresp.stopped,SubjectiveResponse.response,SubjectiveResponse.rt,SubjectiveResponse.started,SubjectiveResponse.stopped,textsubjcon.started,textsubjcon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
21,Indirect,LIE,Are you from Nanyang Business School in NTU?,,video/V31.mp4,,,,,,,,,0,19,19,19,,634.6209612637758,635.1207986171357,651.2193977395073,651.7190544814803,654.5355926561169,655.0520263775252,656.7522160997614,657.2518561603501,658.4520064238459,None,0.025925925925925908,2.4170008352957666,658.4520064238459,None,658.4520064238459,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
16,Direct,LIE,"How many siblings do you have? (Eg. 0, 1, 2, 3)",,video/V10.mp4,,,,,,,,,0,20,20,20,,662.2680476764217,662.7679017116316,665.8345983624458,666.3344636256807,669.2508074585348,669.7840707716532,671.3334726681933,671.8334877463058,673.033848776482,None,0.011111111111111127,1.7156510935164988,673.033848776482,None,673.033848776482,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
25,Direct,LIE,"How old is your dad? (Eg. 45, 52)",,video/V19.mp4,,,,,,,,,0,21,21,21,,677.3665621066466,677.8999357754365,683.2327678021975,683.7326314616948,686.3826099038124,686.9153878432699,688.4154337178916,688.9154799133539,690.8486273526214,None,0.999074074074074,2.7331630303524435,690.8486273526214,None,690.8486273526214,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
27,Indirect,TRUTH,Do you drink alcohol rarely?,,video/V7.mp4,,,,,,,,,0,22,22,22,,694.5980916135013,695.1317132622935,697.5977079342119,698.0976979895495,701.180531299673,701.7137567577884,703.4805703088641,703.9807255771011,705.1472804979421,None,0.9842592592592593,1.9148681443184614,705.1472804979421,None,705.1472804979421,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
21,Indirect,TRUTH,Are you from School of Humanities in NTU?,,video/V14.mp4,,,,,,,,,0,23,23,23,,708.0968606965616,708.6137050446123,710.1465234053321,710.6466421019286,713.2294936976396,713.763210945297,716.0625095437281,716.5628082104959,718.4957538652234,None,0.9796296296296296,2.1684325747191906,718.4957538652234,None,718.4957538652234,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
28,Direct,TRUTH,What religion do you practice?,,video/V20.mp4,,,,,,,,,0,24,24,24,,721.4289090042002,721.945358124096,723.145306924358,723.6451795659959,726.3618010850623,726.8947477662005,728.361621114891,728.8615486137569,730.2614731611684,None,0.9953703703703703,2.0670251520350575,730.2614731611684,None,730.2614731611684,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
2,Direct,LIE,Which secondary school did you attend?,,video/V5.mp4,,,,,,,,,0,25,25,25,,733.2443615850061,733.7443092940375,739.4269864377566,739.9271538965404,742.8768470175564,743.410092686303,745.2098859613761,745.7096870644018,746.7764947125688,None,0.029629629629629617,3.5829686881043017,746.7764947125688,None,746.7764947125688,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
26,Direct,LIE,How often do you smoke?,,video/V34.mp4,,,,,,,,,0,26,26,26,,751.0761487600394,751.5756758977659,752.7591778230853,753.2589317681268,756.2751848781481,756.8083686325699,758.4085704809986,758.9083395036869,760.8249974017963,None,0.014814814814814836,5.450776789803058,760.8249974017963,None,760.8249974017963,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
23,Indirect,LIE,Are you studying Business course in NTU?,,video/V21.mp4,,,,,,,,,0,27,27,27,,766.9073620201088,767.4410997992381,769.7575006703846,770.2574416431598,773.0900603365153,773.6238013235852,775.2568510468118,775.7569472873583,777.7067289492115,None,0.02685185185185185,2.1176894046366215,777.7067289492115,None,777.7067289492115,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
24,Indirect,TRUTH,Is your mum 48 years old this year?,,video/V39.mp4,,,,,,,,,0,28,28,28,,780.6397509551607,781.139612047933,783.7393002924509,784.2392496056855,786.7056632451713,787.2390744481236,788.7723191543482,789.2722845077515,790.5721942340024,None,0.9583333333333333,3.284048315603286,790.5721942340024,None,790.5721942340024,None,022,001,2021_Feb_16_1546,deception_task,2020.2.10,60.04546002997453,
