Item,pic,correct,part,partimg,condition,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
81,images/86,a,None,None,physical,,,,,,,,,,,,,,,,,,,,,0,24,24,24,,344.6080213962123,None,-0.5157407407407407,0.19166666666666668,1,0,0,3.7717927182093263,a,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
82,images/87,d,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,25,25,25,,348.39105790201575,None,-0.41388888888888886,-0.3296296296296296,1,0,0,2.7298247651197016,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
83,images/88,d,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,26,26,26,,351.1407986939885,None,-0.41203703703703703,-0.362962962962963,1,0,0,2.994564652442932,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
84,images/89,c,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,27,27,27,,354.15676115779206,None,0.45185185185185184,-0.3648148148148148,1,0,0,6.125553222838789,c,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
85,images/90,b,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,28,28,28,,360.306090938393,None,0.4398148148148148,0.22037037037037038,1,0,0,7.922858358360827,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
86,images/91,c,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,29,29,29,,368.239054558333,None,0.4324074074074074,-0.29074074074074074,1,0,0,9.357532494235784,c,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
87,images/92,d,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,30,30,30,,377.6048393617384,None,-0.38333333333333336,-0.38796296296296295,1,0,0,7.025322181172669,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
88,images/93,b,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,31,31,31,,384.6539493286982,None,0.43148148148148147,0.11388888888888889,1,0,0,6.1917879190295935,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
89,images/94,a,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,32,32,32,,390.8529568957165,None,-0.36574074074074076,0.07962962962962963,1,0,0,5.393847595900297,a,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
90,images/95,b,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,33,33,33,,396.2696032449603,None,0.3962962962962963,0.14351851851851852,1,0,0,2.1954829157330096,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
91,images/96,c,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,34,34,34,,398.48601399734616,None,0.40185185185185185,-0.39351851851851855,1,0,0,5.092941137962043,c,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
92,images/97,c,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,35,35,35,,403.6022293167189,None,0.42777777777777776,-0.387037037037037,1,0,0,1.9388596387580037,c,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
93,images/98,a,None,None,physical,,,,,,,,,,,,,,,,,,,,,0,36,36,36,,405.5519375153817,None,-0.5,0.1675925925925926,1,0,0,2.2357685836032033,a,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
94,images/99,b,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,37,37,37,,407.78490068623796,None,0.44814814814814813,0.11666666666666667,1,0,0,4.224126039072871,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
95,images/100,d,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,38,38,38,,412.03456320241094,None,-0.462037037037037,-0.35833333333333334,1,0,0,2.8942793952301145,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
96,images/101,c,None,None,physical,,,,,,,,,,,,,,,,,,,,,0,39,39,39,,414.95105203799903,None,0.5203703703703704,-0.45,1,0,0,1.8933856412768364,c,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
97,images/102,b,None,None,affect,,,,,,,,,,,,,,,,,,,,,0,40,40,40,,416.8676640614867,None,0.4601851851851852,0.14722222222222223,1,0,0,3.394832137040794,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
98,images/103,c,None,None,cognitive,,,,,,,,,,,,,,,,,,,,,0,41,41,41,,420.28393924282864,None,0.36574074074074076,-0.38981481481481484,1,0,0,6.094487403519452,c,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
