Item,pic,correct,part,partimg,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
58,images/63,d,None,None,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,68.31865341700905,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.14232100000663195,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
59,images/64,b,None,None,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,68.46758691700234,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.11002312500204425,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
60,images/65,c,None,None,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,68.58407045800413,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.1283144170010928,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
61,images/66,a,None,None,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,68.71811887501099,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.1094340830022702,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
62,images/67,b,None,None,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,68.83407191700826,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.09415212500607595,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
63,images/68,d,None,None,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,68.93401008300134,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.11092166599701159,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
64,images/69,a,None,None,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,69.05077654200431,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.1279811660060659,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
65,images/70,a,None,None,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,69.18401512500714,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.09401775000151247,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
66,images/71,a,None,None,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,69.284407500003,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.09282341699872632,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
67,images/72,c,None,None,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,69.38410912500694,None,-0.31333333333333335,0.09555555555555556,1,0,0,0.11084945801121648,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
