"","HCT_timeframe","HCT_hbcount","HCT_confidence","HCT_confidenceRT","ID"
"65",20,7,"0.061111111","2.331448729",13
"66",20,30,"0.107407407407407","3.23296188749373",14
"67",30,53,"0.107407407407407","1.59779230505228",14
"68",40,52,"0.192592592592593","3.41482002381235",14
"69",35,33,"0.107407407407407","2.45020864950493",14
"70",25,43,"0.139814814814815","3.71382284304127",14
"71",20,19,"0.923148148148148","6.59936134750023",15
"72",30,24,"0.877777777777778","4.4000041061081",15
"73",40,30,"0.868518518518518","2.21429570484906",15
"74",25,16,"0.800925925925926","1.6641091266647",15
"75",35,21,"0.59537037037037","2.29698337102309",15
"76",40,42,"0.238888888888889","5.28325465135276",16
"77",20,23,"0.774074074074074","3.93053546966985",16
"78",30,35,"0.774074074074074","1.3169016437605",16
"79",25,25,"0.774074074074074","1.51418554130942",16
"80",35,36,"0.669444444444445","2.64931791089475",16
"81",30,27,"0.310185185185185","2.68126946501434",17
"82",40,30,"0.176851851851852","3.39944366551936",17
"83",20,14,"0.49537037037037","1.94731726124883",17
"84",25,20,"0.276851851851852","1.981584363617",17
"85",35,40,"0.00925925925925924","2.06513049593195",17
"86",35,35,"0.69537037037037","2.43312690826133",18
"87",40,42,"0.341666666666667","1.86462799133733",18
"88",30,29,"0.30462962962963","1.88095873594284",18
"89",25,27,"0.610185185185185","1.81497843563557",18
"90",20,22,"0.2","1.81402982445434",18
"91",25,23,"0","0",19
"92",20,16,"0","0",19
"93",30,23,"0","0",19
"94",40,40,"0","0",19
"95",35,27,"0","0",19
"96",20,25,"0.640740741","3.647040538",20
"97",40,57,"0.351851852","8.430828041",20
"98",25,34,"0.351851852","2.331592127",20
"99",35,45,"0.481481481","2.380729362",20
"100",30,41,"0.183333333","5.164272415",20
"101",35,35,"0.27037037037037","4.72953283553943",21
"102",20,18,"0.10462962962963","9.23001018865034",21
"103",40,32,"0","1.59728319244459",21
"104",30,37,"0.123148148148148","2.29888251842931",21
"105",25,22,"0.346296296296296","2.18121139938012",21
"106",30,40,"0.953703703703704","2.0800660722889",22
"107",20,24,"0.776851851851852","1.31419696239755",22
"108",25,30,"0.797222222222222","0.698196579702199",22
"109",40,44,"0.471296296296296","1.53119478235021",22
"110",35,77,"0.868518518518518","2.17992819193751",22
"111",35,23,"0","0",23
"112",20,12,"0","0",23
"113",40,29,"0","0",23
"114",25,24,"0","0",23
"115",30,22,"0","0",23
"116",30,21,"0.151851851851852","3.13061547745019",24
"117",40,27,"0.131481481481481","4.4470641487278",24
